# x y z exact_flux predicted_flux abs_error
4.8772580504032069e-02 4.8036798991923880e-03 4.9759236333609846e-01 -2.6450024105825039e-02 -2.6871952393585495e-02 4.2192828776045632e-04
4.6898277587240376e-02 1.4226436972985921e-02 4.9759236333609846e-01 -7.8901771713950269e-02 -7.9202888334716268e-02 3.0111662076599821e-04
4.3221700163628113e-02 2.3102480052185379e-02 4.9759236333609846e-01 -1.2897833204577411e-01 -1.2917021178947272e-01 1.9187974369860861e-04
3.7884137041736328e-02 3.1090707778999430e-02 4.9759236333609846e-01 -1.7457022704769762e-01 -1.7466747958858961e-01 9.7252540891989980e-05
3.1090707778999430e-02 3.7884137041736328e-02 4.9759236333609846e-01 -2.1369982173842691e-01 -2.1371939786549465e-01 1.9576127067738591e-05
2.3102480052185390e-02 4.3221700163628113e-02 4.9759236333609846e-01 -2.4463714170886169e-01 -2.4459765559166549e-01 3.9486117196202430e-05
1.4226436972985921e-02 4.6898277587240383e-02 4.9759236333609846e-01 -2.6600317792239581e-01 -2.6592424587880908e-01 7.8932043586721345e-05
4.8036798991923958e-03 4.8772580504032062e-02 4.9759236333609846e-01 -2.7685030894097318e-01 -2.7675195776269329e-01 9.8351178279887375e-05
1.4444343859530451e-01 1.4226436972985921e-02 4.7847016786610441e-01 -7.7443279661459336e-02 -7.7799668851097570e-02 3.5638918963823429e-04
1.3889255825490054e-01 4.2132596924363677e-02 4.7847016786610441e-01 -2.3495092651580368e-01 -2.3502875941225274e-01 7.7832896449053779e-05
1.2800411479260479e-01 6.8419624804170728e-02 4.7847016786610441e-01 -3.8954146373018939e-01 -3.8937382840527063e-01 1.6763532491875788e-04
1.1219654498436386e-01 9.2077324872921126e-02 4.7847016786610441e-01 -5.3299687772549798e-01 -5.3262034266822689e-01 3.7653505727108794e-04
9.2077324872921126e-02 1.1219654498436386e-01 4.7847016786610441e-01 -6.5728992722786106e-01 -6.5675105774429499e-01 5.3886948356607345e-04
6.8419624804170742e-02 1.2800411479260479e-01 4.7847016786610441e-01 -7.5543717656352616e-01 -7.5478981348867225e-01 6.4736307485391276e-04
4.2132596924363677e-02 1.3889255825490054e-01 4.7847016786610441e-01 -8.2216291550747567e-01 -8.2145852286196830e-01 7.0439264550736791e-04
1.4226436972985946e-02 1.4444343859530448e-01 4.7847016786610441e-01 -8.5427007722849191e-01 -8.5354770824296600e-01 7.2236898552591189e-04
2.3456341634617300e-01 2.3102480052185379e-02 4.4096063217417752e-01 -1.2235026070279197e-01 -1.2286147750430984e-01 5.1121680151787474e-04
2.2554927580066894e-01 6.8419624804170728e-02 4.4096063217417752e-01 -3.7886664389435831e-01 -3.7906310048397251e-01 1.9645658961420231e-04
2.0786740307563631e-01 1.1110744174509944e-01 4.4096063217417752e-01 -6.3797838016709352e-01 -6.3785603816935876e-01 1.2234199773475396e-04
1.8219730262378964e-01 1.4952546200953518e-01 4.4096063217417752e-01 -8.8187415609402364e-01 -8.8145143745062249e-01 4.2271864340115428e-04
1.4952546200953518e-01 1.8219730262378964e-01 4.4096063217417752e-01 -1.0930637305308002e+00 -1.0924265946391702e+00 6.3713589162994744e-04
1.1110744174509948e-01 2.0786740307563628e-01 4.4096063217417752e-01 -1.2570592258484088e+00 -1.2563360839764499e+00 7.2314187195887669e-04
6.8419624804170728e-02 2.2554927580066897e-01 4.4096063217417752e-01 -1.3641379759797019e+00 -1.3634428827380927e+00 6.9509324160921260e-04
2.3102480052185421e-02 2.3456341634617298e-01 4.4096063217417752e-01 -1.4098791601302092e+00 -1.4092663898333568e+00 6.1277029685236073e-04
3.1566925355153747e-01 3.1090707778999430e-02 3.8650522668136850e-01 -1.5830088472621068e-01 -1.5906758111083069e-01 7.6669638462001366e-04
3.0353826116690874e-01 9.2077324872921126e-02 3.8650522668136850e-01 -5.0199758469489497e-01 -5.0247700386866256e-01 4.7941917376759235e-04
2.7974246363185373e-01 1.4952546200953518e-01 3.8650522668136850e-01 -8.5946500914004986e-01 -8.5953727043692774e-01 7.2261296877873527e-05
2.4519632010080761e-01 2.0122741949596792e-01 3.8650522668136850e-01 -1.1993607368251451e+00 -1.1989892123291941e+00 3.7152449595101444e-04
2.0122741949596792e-01 2.4519632010080761e-01 3.8650522668136850e-01 -1.4912477968088900e+00 -1.4905862219650268e+00 6.6157484386319965e-04
1.4952546200953520e-01 2.7974246363185373e-01 3.8650522668136850e-01 -1.7114747602592155e+00 -1.7107609168191797e+00 7.1384344003577738e-04
9.2077324872921126e-02 3.0353826116690880e-01 3.8650522668136850e-01 -1.8464876298467916e+00 -1.8459019446505702e+00 5.8568519622137494e-04
3.1090707778999482e-02 3.1566925355153741e-01 3.8650522668136850e-01 -1.8930165883156669e+00 -1.8926154140689877e+00 4.0117424667918122e-04
3.8464409837227320e-01 3.7884137041736328e-02 3.1719664208182274e-01 -1.8434449539063069e-01 -1.8535075471428455e-01 1.0062593236538631e-03
3.6986244138272223e-01 1.1219654498436386e-01 3.1719664208182274e-01 -5.9982460923194392e-01 -6.0057079059673668e-01 7.4618136479276398e-04
3.4086717819208007e-01 1.8219730262378964e-01 3.1719664208182274e-01 -1.0442418728718359e+00 -1.0444708733568140e+00 2.2900048497809244e-04
2.9877258050403210e-01 2.4519632010080761e-01 3.1719664208182274e-01 -1.4696656566736985e+00 -1.4692879850027736e+00 3.7767167092495058e-04
2.4519632010080761e-01 2.9877258050403210e-01 3.1719664208182274e-01 -1.8302814013867528e+00 -1.8295393750844489e+00 7.4202630230391087e-04
1.8219730262378969e-01 3.4086717819208001e-01 3.1719664208182274e-01 -2.0926550399753450e+00 -2.0918613357024629e+00 7.9370427288205647e-04
1.1219654498436386e-01 3.6986244138272228e-01 3.1719664208182274e-01 -2.2407847152922726e+00 -2.2400915749509909e+00 6.9314034128176161e-04
3.7884137041736390e-02 3.8464409837227320e-01 3.1719664208182274e-01 -2.2752112396855080e+00 -2.2745881435929571e+00 6.2309609255084553e-04
4.3883728620345797e-01 4.3221700163628113e-02 2.3569836841299890e-01 -2.0125654072043411e-01 -2.0247714141488457e-01 1.2206006944504577e-03
4.2197301539744442e-01 1.2800411479260479e-01 2.3569836841299890e-01 -6.7133422376802632e-01 -6.7229464317663146e-01 9.6041940860513986e-04
