# x y z exact_flux predicted_flux abs_error
1.6530401610461053e-02 4.6199377555313705e-02 9.9879545620517241e-01 2.3485842780008787e-01 2.3485842780008787e-01 0.0000000000000000e+00
1.1922472335510796e-02 4.7597177619167048e-02 9.9879545620517241e-01 2.4205731940838951e-01 2.4205731940838948e-01 2.7755575615628914e-17
7.1997231344832187e-03 4.8536590843283836e-02 9.9879545620517241e-01 2.4688574794967494e-01 2.4688574794967494e-01 0.0000000000000000e+00
2.4076366639015625e-03 4.9008570164780302e-02 9.9879545620517241e-01 2.4929439553292954e-01 2.4929439553292954e-01 0.0000000000000000e+00
1.4655373117284443e-01 7.1997231344832187e-03 9.8917650996478101e-01 3.5661742805343274e-02 3.5661742805343274e-02 0.0000000000000000e+00
1.4514233862723119e-01 2.1529832133895567e-02 9.8917650996478101e-01 1.0739010966416007e-01 1.0739010966416006e-01 1.3877787807814457e-17
1.4233314601776459e-01 3.5652597080455060e-02 9.8917650996478101e-01 1.7901760863463106e-01 1.7901760863463106e-01 0.0000000000000000e+00
1.3815320740493470e-01 4.9432008027437711e-02 9.8917650996478101e-01 2.4974667855855109e-01 2.4974667855855109e-01 0.0000000000000000e+00
1.3264277788256992e-01 6.2735361714831808e-02 9.8917650996478101e-01 3.1876071015679214e-01 3.1876071015679214e-01 0.0000000000000000e+00
1.2585492589927788e-01 7.5434539574274886e-02 9.8917650996478101e-01 3.8524081231748997e-01 3.8524081231748997e-01 0.0000000000000000e+00
1.1785502218027494e-01 8.7407241580903752e-02 9.8917650996478101e-01 4.4838336337341900e-01 4.4838336337341911e-01 1.1102230246251565e-16
1.0872011017156737e-01 9.8538164069449860e-02 9.8917650996478101e-01 5.0741742572408566e-01 5.0741742572408555e-01 1.1102230246251565e-16
9.8538164069449860e-02 1.0872011017156737e-01 9.8917650996478101e-01 5.6162114083081838e-01 5.6162114083081827e-01 1.1102230246251565e-16
8.7407241580903766e-02 1.1785502218027492e-01 9.8917650996478101e-01 6.1033633412961119e-01 6.1033633412961130e-01 1.1102230246251565e-16
7.5434539574274886e-02 1.2585492589927788e-01 9.8917650996478101e-01 6.5298073109336030e-01 6.5298073109336019e-01 1.1102230246251565e-16
6.2735361714831822e-02 1.3264277788256992e-01 9.8917650996478101e-01 6.8905739611535521e-01 6.8905739611535521e-01 0.0000000000000000e+00
4.9432008027437711e-02 1.3815320740493470e-01 9.8917650996478101e-01 7.1816123167529833e-01 7.1816123167529833e-01 0.0000000000000000e+00
3.5652597080455074e-02 1.4233314601776459e-01 9.8917650996478101e-01 7.3998259295361746e-01 7.3998259295361746e-01 0.0000000000000000e+00
2.1529832133895567e-02 1.4514233862723119e-01 9.8917650996478101e-01 7.5430826194756517e-01 7.5430826194756517e-01 0.0000000000000000e+00
7.1997231344832352e-03 1.4655373117284443e-01 9.8917650996478101e-01 7.6102016934076278e-01 7.6102016934076278e-01 0.0000000000000000e+00
2.4268749963529529e-01 1.1922472335510791e-02 9.7003125319454397e-01 5.7904001459777317e-02 5.7904001459777317e-02 0.0000000000000000e+00
2.4035028634732516e-01 3.5652597080455060e-02 9.7003125319454397e-01 1.7548885723998647e-01 1.7548885723998647e-01 0.0000000000000000e+00
2.3569836841299879e-01 5.9039367825822475e-02 9.7003125319454397e-01 2.9423697708044549e-01 2.9423697708044549e-01 0.0000000000000000e+00
2.2877654634502079e-01 8.1857557184825819e-02 9.7003125319454397e-01 4.1258453575399401e-01 4.1258453575399401e-01 0.0000000000000000e+00
2.1965148107375859e-01 1.0388741352024673e-01 9.7003125319454397e-01 5.2887836245730657e-01 5.2887836245730657e-01 0.0000000000000000e+00
2.0841105196604257e-01 1.2491677727283064e-01 9.7003125319454397e-01 6.4143103820685776e-01 6.4143103820685776e-01 0.0000000000000000e+00
1.9516351049882358e-01 1.4474312417382063e-01 9.7003125319454397e-01 7.4857867816144674e-01 7.4857867816144674e-01 0.0000000000000000e+00
1.8003643773827380e-01 1.6317551566437638e-01 9.7003125319454397e-01 8.4873704013755247e-01 8.4873704013755247e-01 0.0000000000000000e+00
1.6317551566437638e-01 1.8003643773827380e-01 9.7003125319454397e-01 9.4045193056891963e-01 9.4045193056891963e-01 0.0000000000000000e+00
1.4474312417382065e-01 1.9516351049882355e-01 9.7003125319454397e-01 1.0224406196845930e+00 1.0224406196845930e+00 0.0000000000000000e+00
1.2491677727283064e-01 2.0841105196604257e-01 9.7003125319454397e-01 1.0936220193268846e+00 1.0936220193268844e+00 2.2204460492503131e-16
1.0388741352024676e-01 2.1965148107375859e-01 9.7003125319454397e-01 1.1531345781535851e+00 1.1531345781535851e+00 0.0000000000000000e+00
8.1857557184825819e-02 2.2877654634502079e-01 9.7003125319454397e-01 1.2003420588908067e+00 1.2003420588908067e+00 0.0000000000000000e+00
5.9039367825822503e-02 2.3569836841299879e-01 9.7003125319454397e-01 1.2348284418709066e+00 1.2348284418709068e+00 2.2204460492503131e-16
3.5652597080455060e-02 2.4035028634732516e-01 9.7003125319454397e-01 1.2563840390197867e+00 1.2563840390197867e+00 0.0000000000000000e+00
1.1922472335510819e-02 2.4268749963529529e-01 9.7003125319454397e-01 1.2649854341593922e+00 1.2649854341593922e+00 0.0000000000000000e+00
3.3648405480977606e-01 1.6530401610461053e-02 9.4154406518302081e-01 7.7909657915737923e-02 7.7909657915737923e-02 0.0000000000000000e+00
3.3324352942106295e-01 4.9432008027437711e-02 9.4154406518302081e-01 2.3807537495088640e-01 2.3807537495088640e-01 0.0000000000000000e+00
3.2679368667458142e-01 8.1857557184825819e-02 9.4154406518302081e-01 4.0208059574807897e-01 4.0208059574807897e-01 0.0000000000000000e+00
3.1719664208182274e-01 1.1349477331863152e-01 9.4154406518302081e-01 5.6728065638175407e-01 5.6728065638175407e-01 0.0000000000000000e+00
3.0454482042849346e-01 1.4403897274282468e-01 9.4154406518302081e-01 7.3079878316409019e-01 7.3079878316409030e-01 1.1102230246251565e-16
2.8896006567330434e-01 1.7319599811979244e-01 9.4154406518302081e-01 8.8966295729075728e-01 8.8966295729075739e-01 1.1102230246251565e-16
2.7059246752404142e-01 2.0068505135630332e-01 9.4154406518302081e-01 1.0409488370028763e+00 1.0409488370028765e+00 2.2204460492503131e-16
2.4961891599163263e-01 2.2624139784264452e-01 9.4154406518302081e-01 1.1819156285038992e+00 1.1819156285038994e+00 2.2204460492503131e-16
2.2624139784264452e-01 2.4961891599163263e-01 9.4154406518302081e-01 1.3101231400362956e+00 1.3101231400362956e+00 0.0000000000000000e+00
2.0068505135630335e-01 2.7059246752404142e-01 9.4154406518302081e-01 1.4235209430799161e+00 1.4235209430799161e+00 0.0000000000000000e+00
1.7319599811979244e-01 2.8896006567330434e-01 9.4154406518302081e-01 1.5205041540899806e+00 1.5205041540899804e+00 2.2204460492503131e-16
1.4403897274282471e-01 3.0454482042849346e-01 9.4154406518302081e-01 1.5999342971332970e+00 1.5999342971332973e+00 2.2204460492503131e-16
1.1349477331863152e-01 3.1719664208182274e-01 9.4154406518302081e-01 1.6611274701133865e+00 1.6611274701133865e+00 0.0000000000000000e+00
8.1857557184825860e-02 3.2679368667458142e-01 9.4154406518302081e-01 1.7038151581251573e+00 1.7038151581251570e+00 2.2204460492503131e-16
4.9432008027437711e-02 3.3324352942106295e-01 9.4154406518302081e-01 1.7280852040263937e+00 1.7280852040263939e+00 2.2204460492503131e-16
1.6530401610461092e-02 3.3648405480977606e-01 9.4154406518302081e-01 1.7343115155039346e+00 1.7343115155039346e+00 0.0000000000000000e+00
4.2704008459554371e-01 2.0979134081465862e-02 9.0398929312344334e-01 9.5012224402492546e-02 9.5012224402492546e-02 0.0000000000000000e+00
4.2292745513703228e-01 6.2735361714831808e-02 9.0398929312344334e-01 2.9341311880255405e-01 2.9341311880255405e-01 0.0000000000000000e+00
4.1474180308988684e-01 1.0388741352024673e-01 9.0398929312344334e-01 5.0003731545679297e-01 5.0003731545679297e-01 0.0000000000000000e+00
4.0256196075805406e-01 1.4403897274282468e-01 9.0398929312344334e-01 7.1074003964204535e-01 7.1074003964204535e-01 0.0000000000000000e+00
3.8650522668136850e-01 1.8280335791817726e-01 9.0398929312344334e-01 9.2090180486076789e-01 9.2090180486076800e-01 1.1102230246251565e-16
3.6672623598649234e-01 2.1980724682629729e-01 9.0398929312344334e-01 1.1257123909945519e+00 1.1257123909945519e+00 0.0000000000000000e+00
3.4341547116611337e-01 2.5469427178861642e-01 9.0398929312344334e-01 1.3204658551990025e+00 1.3204658551990023e+00 2.2204460492503131e-16
3.1679742762841218e-01 2.8712845168355949e-01 9.0398929312344334e-01 1.5008358024914408e+00 1.5008358024914408e+00 0.0000000000000000e+00
2.8712845168355949e-01 3.1679742762841218e-01 9.0398929312344334e-01 1.6631040531965475e+00 1.6631040531965477e+00 2.2204460492503131e-16
2.5469427178861642e-01 3.4341547116611332e-01 9.0398929312344334e-01 1.8043230857442203e+00 1.8043230857442203e+00 0.0000000000000000e+00
2.1980724682629729e-01 3.6672623598649234e-01 9.0398929312344334e-01 1.9224018813976664e+00 1.9224018813976664e+00 0.0000000000000000e+00
1.8280335791817728e-01 3.8650522668136850e-01 9.0398929312344334e-01 2.0161145298337559e+00 2.0161145298337559e+00 0.0000000000000000e+00
1.4403897274282468e-01 4.0256196075805406e-01 9.0398929312344334e-01 2.0850397436886157e+00 2.0850397436886157e+00 0.0000000000000000e+00
1.0388741352024679e-01 4.1474180308988684e-01 9.0398929312344334e-01 2.1294461794873367e+00 2.1294461794873367e+00 0.0000000000000000e+00
6.2735361714831808e-02 4.2292745513703228e-01 9.0398929312344334e-01 2.1501425422000633e+00 2.1501425422000633e+00 0.0000000000000000e+00
2.0979134081465910e-02 4.2704008459554371e-01 9.0398929312344334e-01 2.1483127240601148e+00 2.1483127240601148e+00 0.0000000000000000e+00
5.1348348492279983e-01 2.5225826022904893e-02 8.5772861000027212e-01 1.0877437784967003e-01 1.0877437784967005e-01 1.3877787807814457e-17
5.0853835826436755e-01 7.5434539574274886e-02 8.5772861000027212e-01 3.4040467196144564e-01 3.4040467196144569e-01 5.5511151231257827e-17
4.9869572922050487e-01 1.2491677727283064e-01 8.5772861000027212e-01 5.8659644047773452e-01 5.8659644047773452e-01 0.0000000000000000e+00
4.8405038768943259e-01 1.7319599811979244e-01 8.5772861000027212e-01 8.4119960323494880e-01 8.4119960323494869e-01 1.1102230246251565e-16
4.6474337631605284e-01 2.1980724682629729e-01 8.5772861000027212e-01 1.0972194598824743e+00 1.0972194598824743e+00 0.0000000000000000e+00
4.4096063217417747e-01 2.6430163158700110e-01 8.5772861000027212e-01 1.3473354481170245e+00 1.3473354481170243e+00 2.2204460492503131e-16
4.1293119609086304e-01 3.0625064715355355e-01 8.5772861000027212e-01 1.5844371844499037e+00 1.5844371844499037e+00 0.0000000000000000e+00
3.8092500685804026e-01 3.4525030157438397e-01 8.5772861000027212e-01 1.8021163070261139e+00 1.8021163070261141e+00 2.2204460492503131e-16
3.4525030157438397e-01 3.8092500685804026e-01 8.5772861000027212e-01 1.9950618994960516e+00 1.9950618994960521e+00 4.4408920985006262e-16
3.0625064715355360e-01 4.1293119609086298e-01 8.5772861000027212e-01 2.1593234044224747e+00 2.1593234044224743e+00 4.4408920985006262e-16
2.6430163158700110e-01 4.4096063217417747e-01 8.5772861000027212e-01 2.2924247434621692e+00 2.2924247434621687e+00 4.4408920985006262e-16
2.1980724682629735e-01 4.6474337631605284e-01 8.5772861000027212e-01 2.3933333579230065e+00 2.3933333579230065e+00 0.0000000000000000e+00
