# x y z u
1.7146403813859451e-01 4.7920988381253821e-01 8.4915132390026937e-01 1.5200194196405890e+00
1.2366760950010239e-01 4.9370877192829982e-01 8.4915132390026937e-01 1.5579487460847996e+00
7.4680194178532139e-02 5.0345297468172390e-01 8.4915132390026937e-01 1.5783604076894846e+00
2.4973567762675900e-02 5.0834865007357188e-01 8.4915132390026937e-01 1.5817202474502108e+00
5.8903194100570766e-01 2.8937283675205098e-02 7.9517545616583851e-01 6.9373475643165747e-02
5.8335924141620987e-01 8.6533169165094709e-02 7.9517545616583851e-01 2.3269256033821514e-01
5.7206847343527423e-01 1.4329569293208241e-01 7.9517545616583851e-01 4.0451717105560170e-01
5.5526837333071877e-01 1.9867820084274029e-01 7.9517545616583851e-01 5.8120399862021943e-01
5.3312073525041925e-01 2.5214732907073023e-01 7.9517545616583851e-01 7.5860102846808874e-01
5.0583885305621945e-01 3.0318814068201799e-01 7.9517545616583851e-01 9.3238155431331127e-01
4.7368546618744339e-01 3.5130908475904110e-01 7.9517545616583851e-01 1.0983386332228664e+00
4.3697022933646656e-01 3.9604673030475390e-01 7.9517545616583851e-01 1.2526265893762096e+00
3.9604673030475390e-01 4.3697022933646656e-01 7.9517545616583851e-01 1.3919419204572516e+00
3.5130908475904121e-01 4.7368546618744334e-01 7.9517545616583851e-01 1.5136410003566452e+00
3.0318814068201799e-01 5.0583885305621945e-01 7.9517545616583851e-01 1.6157968938960809e+00
2.5214732907073029e-01 5.3312073525041925e-01 7.9517545616583851e-01 1.6972019974448864e+00
1.9867820084274029e-01 5.5526837333071877e-01 7.9517545616583851e-01 1.7573253885489581e+00
1.4329569293208247e-01 5.7206847343527423e-01 7.9517545616583851e-01 1.7962341363701055e+00
8.6533169165094709e-02 5.8335924141620987e-01 7.9517545616583851e-01 1.8144877715845393e+00
2.8937283675205160e-02 5.8903194100570766e-01 7.9517545616583851e-01 1.8130156525912429e+00
6.6404253234834554e-01 3.2622317727213766e-02 7.3354161410140950e-01 7.6374733621728086e-02
6.5764743975925788e-01 9.7552782428755355e-02 7.3354161410140950e-01 2.5711007051331897e-01
6.4491884281862866e-01 1.6154376050773261e-01 7.3354161410140950e-01 4.5015272234604869e-01
6.2597932487315511e-01 2.2397898386421808e-01 7.3354161410140950e-01 6.5067139758885040e-01
6.0101128383404578e-01 2.8425716716672389e-01 7.3354161410140950e-01 8.5319203974141578e-01
5.7025517558542682e-01 3.4179779855864012e-01 7.3354161410140950e-01 1.0520140926459443e+00
5.3400719826273157e-01 3.9604673030475396e-01 7.3354161410140950e-01 1.2416480839123951e+00
4.9261643970273744e-01 4.4648151553686743e-01 7.3354161410140950e-01 1.4171562110111366e+00
4.4648151553686743e-01 4.9261643970273744e-01 7.3354161410140950e-01 1.5743955644248437e+00
3.9604673030475401e-01 5.3400719826273146e-01 7.3354161410140950e-01 1.7101661950773221e+00
3.4179779855864012e-01 5.7025517558542682e-01 7.3354161410140950e-01 1.8222711778992344e+00
2.8425716716672400e-01 6.0101128383404578e-01 7.3354161410140950e-01 1.9095006429231494e+00
2.2397898386421808e-01 6.2597932487315511e-01 7.3354161410140950e-01 1.9715532121129529e+00
1.6154376050773267e-01 6.4491884281862866e-01 7.3354161410140950e-01 2.0089083520098319e+00
9.7552782428755355e-02 6.5764743975925788e-01 7.3354161410140950e-01 2.0226636358022057e+00
3.2622317727213843e-02 6.6404253234834554e-01 7.3354161410140950e-01 2.0144145340647874e+00
7.3265803110189587e-01 3.5993181026336502e-02 6.6484336529854815e-01 8.1881426105464117e-02
7.2560213375076443e-01 1.0763290906985169e-01 6.6484336529854815e-01 2.7770684235854115e-01
7.1155829119713887e-01 1.7823607336089103e-01 6.6484336529854815e-01 4.8993890878627544e-01
6.9066175332195578e-01 2.4712272683171629e-01 6.6484336529854815e-01 7.1263542846672578e-01
6.6311376520816279e-01 3.1362945335212805e-01 6.6484336529854815e-01 9.3884077064525773e-01
6.2917962904055802e-01 3.7711575678945986e-01 6.6484336529854815e-01 1.1613208087915132e+00
5.8918614910072098e-01 4.3697022933646656e-01 6.6484336529854815e-01 1.3731691487624194e+00
5.4351848446313256e-01 4.9261643970273739e-01 6.6484336529854815e-01 1.5682577275666632e+00
4.9261643970273739e-01 5.4351848446313256e-01 6.6484336529854815e-01 1.7415484635580227e+00
4.3697022933646668e-01 5.8918614910072087e-01 6.6484336529854815e-01 1.8892752456541841e+00
3.7711575678945986e-01 6.2917962904055802e-01 6.6484336529854815e-01 2.0090079742579530e+00
3.1362945335212816e-01 6.6311376520816279e-01 6.6484336529854815e-01 2.0996142658599344e+00
2.4712272683171629e-01 6.9066175332195578e-01 6.6484336529854815e-01 2.1611351109128361e+00
1.7823607336089112e-01 7.1155829119713887e-01 6.6484336529854815e-01 2.1945929564841626e+00
1.0763290906985169e-01 7.2560213375076443e-01 6.6484336529854815e-01 2.2017547317708730e+00
3.5993181026336585e-02 7.3265803110189587e-01 6.6484336529854815e-01 2.1848944147208123e+00
7.9421763250431465e-01 3.9017410316301418e-02 5.8974231144750910e-01 8.6349924957268440e-02
7.8656888253977675e-01 1.1667647195847218e-01 5.8974231144750910e-01 2.9474487749999040e-01
7.7134504425409134e-01 1.9321187539383533e-01 5.8974231144750910e-01 5.2396716509370089e-01
7.4869273153214644e-01 2.6788654284880098e-01 5.8974231144750910e-01 7.6688584975708396e-01
7.1883009852846791e-01 3.3998131645445223e-01 5.8974231144750910e-01 1.0149820058927839e+00
6.8204473872345683e-01 4.0880188412995438e-01 5.8974231144750910e-01 1.2593984054567957e+00
6.3869091524095889e-01 4.7368546618744334e-01 5.8974231144750910e-01 1.4917302679711790e+00
5.8918614910072087e-01 5.3400719826273146e-01 5.8974231144750910e-01 1.7045931005111594e+00
5.3400719826273146e-01 5.8918614910072087e-01 5.8974231144750910e-01 1.8920109604863931e+00
4.7368546618744345e-01 6.3869091524095878e-01 5.8974231144750910e-01 2.0496410187351128e+00
4.0880188412995438e-01 6.8204473872345683e-01 5.8974231144750910e-01 2.1748481136989057e+00
3.3998131645445229e-01 7.1883009852846791e-01 5.8974231144750910e-01 2.2666449700474778e+00
2.6788654284880098e-01 7.4869273153214644e-01 5.8974231144750910e-01 2.3255143852602984e+00
1.9321187539383541e-01 7.7134504425409134e-01 5.8974231144750910e-01 2.3531374097829620e+00
1.1667647195847218e-01 7.8656888253977675e-01 5.8974231144750910e-01 2.3520625901984542e+00
3.9017410316301508e-02 7.9421763250431465e-01 5.8974231144750910e-01 2.3253554755857762e+00
8.4812848394219564e-01 4.1665880615834268e-02 5.0896171675128943e-01 8.9891393675919140e-02
8.3996054300764178e-01 1.2459637664028508e-01 5.0896171675128943e-01 3.0845312547918136e-01
8.2370332287478443e-01 2.0632694144638214e-01 5.0896171675128943e-01 5.5232401617745330e-01
7.9951338946060369e-01 2.8607046501657130e-01 5.0896171675128943e-01 8.1321578969590103e-01
7.6762370504744060e-01 3.6305897362662742e-01 5.0896171675128943e-01 1.0810566002536608e+00
7.2834138472886889e-01 4.3655102585243571e-01 5.0896171675128943e-01 1.3453581646627530e+00
6.8204473872345694e-01 5.0583885305621945e-01 5.0896171675128943e-01 1.5961984817962966e+00
6.2917962904055802e-01 5.7025517558542682e-01 5.0896171675128943e-01 1.8249124779319106e+00
5.7025517558542682e-01 6.2917962904055802e-01 5.0896171675128943e-01 2.0245662018765906e+00
5.0583885305621956e-01 6.8204473872345683e-01 5.0896171675128943e-01 2.1902341249790638e+00
4.3655102585243571e-01 7.2834138472886889e-01 5.0896171675128943e-01 2.3190927381086075e+00
3.6305897362662748e-01 7.6762370504744060e-01 5.0896171675128943e-01 2.4103434333103593e+00
2.8607046501657130e-01 7.9951338946060369e-01 5.0896171675128943e-01 2.4649787475609894e+00
2.0632694144638222e-01 8.2370332287478443e-01 5.0896171675128943e-01 2.4854212052759790e+00
1.2459637664028508e-01 8.3996054300764178e-01 5.0896171675128943e-01 2.4750832421987723e+00
4.1665880615834358e-02 8.4812848394219564e-01 5.0896171675128943e-01 2.4379053802768755e+00
8.9387139444552277e-01 4.3913085708149398e-02 4.2327954249597938e-01 9.2504839755146159e-02
8.8526292427720332e-01 1.3131635010374423e-01 4.2327954249597938e-01 3.1903242814319555e-01
8.6812888821415390e-01 2.1745496626302102e-01 4.2327954249597938e-01 5.7513845713447320e-01
8.4263429639007859e-01 3.0149937222420853e-01 4.2327954249597938e-01 8.5150671815922196e-01
8.0902467566100456e-01 3.8264017441455478e-01 4.2327954249597938e-01 1.1366090684637600e+00
7.6762370504744060e-01 4.6009594255289232e-01 4.2327954249597938e-01 1.4184020642148600e+00
7.1883009852846791e-01 5.3312073525041925e-01 4.2327954249597938e-01 1.6855025033444004e+00
6.6311376520816290e-01 6.0101128383404578e-01 4.2327954249597938e-01 1.9280030794155953e+00
6.0101128383404578e-01 6.6311376520816290e-01 4.2327954249597938e-01 2.1380368100605418e+00
5.3312073525041936e-01 7.1883009852846791e-01 4.2327954249597938e-01 2.3101110397209084e+00
4.6009594255289232e-01 7.6762370504744060e-01 4.2327954249597938e-01 2.4412245547504856e+00
3.8264017441455489e-01 8.0902467566100456e-01 4.2327954249597938e-01 2.5307785556772915e+00
3.0149937222420853e-01 8.4263429639007859e-01 4.2327954249597938e-01 2.5802924612726623e+00
2.1745496626302110e-01 8.6812888821415390e-01 4.2327954249597938e-01 2.5929566907521475e+00
1.3131635010374423e-01 8.8526292427720332e-01 4.2327954249597938e-01 2.5730798524623295e+00
4.3913085708149502e-02 8.9387139444552277e-01 4.2327954249597938e-01 2.5255014848497868e+00
9.3100583478053034e-01 4.5737383779760568e-02 3.3352095485829786e-01 9.4183456398619692e-02
9.2203973965203490e-01 1.3677167533088536e-01 3.3352095485829786e-01 3.2672701136785742e-01
9.0419389779249737e-01 2.2648878088157059e-01 3.3352095485829786e-01 5.9265808155400046e-01
8.7764017441455489e-01 3.1402467566100456e-01 3.3352095485829786e-01 8.8180268615830693e-01
8.4263429639007847e-01 3.9853634115047354e-01 3.3352095485829786e-01 1.1813455033597380e+00
7.9951338946060369e-01 4.7920988381253826e-01 3.3352095485829786e-01 1.4778494377919995e+00
7.4869273153214655e-01 5.5526837333071877e-01 3.3352095485829786e-01 1.7586158004995458e+00
