# x y z u
4.8518484463132498e-02 2.3835602972625413e-03 9.8880750164312070e-01 4.7622690549878333e-03
4.8051224934850999e-02 7.1277259031383858e-03 9.8880750164312070e-01 1.8938624004932736e-02
4.7121205842975376e-02 1.1803247612155683e-02 9.8880750164312070e-01 3.2956230329056868e-02
4.5737383779760568e-02 1.6365097594356445e-02 9.8880750164312070e-01 4.6676882696148753e-02
4.3913085708149398e-02 2.0769342740651203e-02 9.8880750164312070e-01 5.9964018612046061e-02
4.1665880615834268e-02 2.4973567762675845e-02 9.8880750164312070e-01 7.2684239243316295e-02
3.9017410316301425e-02 2.8937283675205098e-02 9.8880750164312070e-01 8.4708839525308083e-02
3.5993181026336502e-02 3.2622317727213766e-02 9.8880750164312070e-01 9.5915320104006413e-02
3.2622317727213766e-02 3.5993181026336502e-02 9.8880750164312070e-01 1.0618885301696873e-01
2.8937283675205101e-02 3.9017410316301418e-02 9.8880750164312070e-01 1.1542367344842391e-01
2.4973567762675845e-02 4.1665880615834268e-02 9.8880750164312070e-01 1.2352437134515104e-01
2.0769342740651210e-02 4.3913085708149398e-02 9.8880750164312070e-01 1.3040705903968233e-01
1.6365097594356445e-02 4.5737383779760568e-02 9.8880750164312070e-01 1.3600039413347312e-01
1.1803247612155688e-02 4.7121205842975376e-02 9.8880750164312070e-01 1.4024644054945049e-01
7.1277259031383858e-03 4.8051224934850999e-02 9.8880750164312070e-01 1.4310135465922635e-01
2.3835602972625469e-03 4.8518484463132498e-02 9.8880750164312070e-01 1.4453588751517146e-01
1.4508819386111599e-01 7.1277259031383867e-03 9.7928474486513317e-01 1.8687553629610831e-02
1.4369091524095887e-01 2.1314533812556612e-02 9.7928474486513317e-01 6.1142100029098700e-02
1.4090981455758694e-01 3.5296071109650509e-02 9.7928474486513317e-01 1.0341988042039124e-01
1.3677167533088536e-01 4.8937687947163334e-02 9.7928474486513317e-01 1.4507299284144243e-01
1.3131635010374423e-01 6.2108008097683493e-02 9.7928474486513317e-01 1.8564699349230321e-01
1.2459637664028508e-01 7.4680194178532139e-02 9.7928474486513317e-01 2.2468838754064427e-01
1.1667647195847219e-01 8.6533169165094723e-02 9.7928474486513317e-01 2.6175250271621819e-01
1.0763290906985169e-01 9.7552782428755355e-02 9.7928474486513317e-01 2.9641142911055202e-01
9.7552782428755355e-02 1.0763290906985169e-01 9.7928474486513317e-01 3.2826171068650156e-01
8.6533169165094737e-02 1.1667647195847218e-01 9.7928474486513317e-01 3.5693149795766277e-01
7.4680194178532139e-02 1.2459637664028508e-01 9.7928474486513317e-01 3.8208691402076589e-01
6.2108008097683506e-02 1.3131635010374423e-01 9.7928474486513317e-01 4.0343744298031542e-01
4.8937687947163334e-02 1.3677167533088536e-01 9.7928474486513317e-01 4.2074021510791521e-01
3.5296071109650530e-02 1.4090981455758694e-01 9.7928474486513317e-01 4.3380313069018328e-01
2.1314533812556612e-02 1.4369091524095887e-01 9.7928474486513317e-01 4.4248682849648457e-01
7.1277259031384023e-03 1.4508819386111599e-01 9.7928474486513317e-01 4.4670556001376555e-01
2.4026062463894235e-01 1.1803247612155683e-02 9.6033094066259850e-01 3.2237184528351948e-02
2.3794678348385193e-01 3.5296071109650509e-02 9.6033094066259850e-01 1.0230161987538150e-01
2.3334138472886881e-01 5.8448974147564253e-02 9.6033094066259850e-01 1.7264119201715508e-01
2.2648878088157059e-01 8.1038981612977568e-02 9.6033094066259850e-01 2.4243158361173583e-01
2.1745496626302102e-01 1.0284853938504428e-01 9.6033094066259850e-01 3.1081384488783242e-01
2.0632694144638217e-01 1.2366760950010235e-01 9.6033094066259850e-01 3.7691527189405938e-01
1.9321187539383536e-01 1.4329569293208241e-01 9.6033094066259850e-01 4.3987158997474429e-01
1.7823607336089106e-01 1.6154376050773261e-01 9.6033094066259850e-01 4.9884913843018697e-01
1.6154376050773261e-01 1.7823607336089106e-01 9.6033094066259850e-01 5.5306580517460502e-01
1.4329569293208244e-01 1.9321187539383533e-01 9.6033094066259850e-01 6.0180961312991066e-01
1.2366760950010235e-01 2.0632694144638217e-01 9.6033094066259850e-01 6.4445409719753766e-01
1.0284853938504430e-01 2.1745496626302102e-01 9.6033094066259850e-01 6.8046990781982575e-01
8.1038981612977568e-02 2.2648878088157059e-01 9.6033094066259850e-01 7.0943240296988219e-01
5.8448974147564281e-02 2.3334138472886881e-01 9.6033094066259850e-01 7.3102530986786141e-01
3.5296071109650509e-02 2.3794678348385193e-01 9.6033094066259850e-01 7.4504081752220497e-01
1.1803247612155711e-02 2.4026062463894235e-01 9.6033094066259850e-01 7.5137667495591565e-01
3.3311921426167834e-01 1.6365097594356445e-02 9.3212862453119061e-01 4.5028589974366151e-02
3.2991109412685232e-01 4.8937687947163334e-02 9.3212862453119061e-01 1.4141287258403581e-01
3.2352574980783561e-01 8.1038981612977568e-02 9.3212862453119061e-01 2.3907566143780953e-01
3.1402467566100456e-01 1.1235982558544520e-01 9.3212862453119061e-01 3.3672233271103580e-01
3.0149937222420853e-01 1.4259858301539644e-01 9.3212862453119061e-01 4.3296947377908657e-01
2.8607046501657135e-01 1.7146403813859454e-01 9.3212862453119061e-01 5.2639145936502174e-01
2.6788654284880103e-01 1.9867820084274029e-01 9.3212862453119061e-01 6.1556975846508033e-01
2.4712272683171632e-01 2.2397898386421808e-01 9.3212862453119061e-01 6.9914146955549294e-01
2.2397898386421808e-01 2.4712272683171632e-01 9.3212862453119061e-01 7.7584380418136445e-01
1.9867820084274032e-01 2.6788654284880098e-01 9.3212862453119061e-01 8.4455171775040050e-01
1.7146403813859454e-01 2.8607046501657135e-01 9.3212862453119061e-01 9.0430661136771162e-01
1.4259858301539646e-01 3.0149937222420853e-01 9.3212862453119061e-01 9.5433494231993499e-01
1.1235982558544520e-01 3.1402467566100456e-01 9.3212862453119061e-01 9.9405657366239242e-01
8.1038981612977595e-02 3.2352574980783561e-01 9.3212862453119061e-01 1.0230836317970939e+00
4.8937687947163334e-02 3.2991109412685232e-01 9.3212862453119061e-01 1.0412114055222477e+00
1.6365097594356483e-02 3.3311921426167834e-01 9.3212862453119061e-01 1.0484033315438266e+00
4.2276968374958829e-01 2.0769342740651203e-02 8.9494940019220892e-01 5.6703364109764509e-02
4.1869818058566199e-01 6.2108008097683493e-02 8.9494940019220892e-01 1.7760603467142952e-01
4.1059438505898799e-01 1.0284853938504426e-01 8.9494940019220892e-01 3.0141097519116344e-01
3.9853634115047354e-01 1.4259858301539644e-01 8.9494940019220892e-01 4.2623399071696733e-01
3.8264017441455478e-01 1.8097532433899546e-01 8.9494940019220892e-01 5.5001572837208523e-01
3.6305897362662742e-01 2.1760917435803431e-01 8.9494940019220892e-01 6.7061168679604233e-01
3.3998131645445223e-01 2.5214732907073023e-01 8.9494940019220892e-01 7.8588647145547830e-01
3.1362945335212805e-01 2.8425716716672389e-01 8.9494940019220892e-01 8.9380500684694186e-01
2.8425716716672389e-01 3.1362945335212805e-01 8.9494940019220892e-01 9.9251393553609746e-01
2.5214732907073029e-01 3.3998131645445223e-01 8.9494940019220892e-01 1.0804074247158313e+00
2.1760917435803431e-01 3.6305897362662742e-01 8.9494940019220892e-01 1.1561732506017850e+00
1.8097532433899552e-01 3.8264017441455478e-01 8.9494940019220892e-01 1.2188172313917667e+00
1.4259858301539644e-01 3.9853634115047354e-01 8.9494940019220892e-01 1.2676664584234141e+00
1.0284853938504432e-01 4.1059438505898799e-01 8.9494940019220892e-01 1.3023539026873543e+00
6.2108008097683493e-02 4.1869818058566199e-01 8.9494940019220892e-01 1.3227885417230190e+00
2.0769342740651252e-02 4.2276968374958829e-01 8.9494940019220892e-01 1.3291160302124598e+00
5.0834865007357188e-01 2.4973567762675845e-02 8.4915132390026937e-01 6.6978991994400272e-02
5.0345297468172390e-01 7.4680194178532139e-02 8.4915132390026937e-01 2.1022751046209892e-01
4.9370877192829982e-01 1.2366760950010233e-01 8.4915132390026937e-01 3.5866536614455069e-01
4.7920988381253821e-01 1.7146403813859451e-01 8.4915132390026937e-01 5.0967945702058348e-01
4.6009594255289232e-01 2.1760917435803431e-01 8.4915132390026937e-01 6.6035778818204283e-01
4.3655102585243571e-01 2.6165861527113110e-01 8.4915132390026937e-01 8.0764616266475442e-01
4.0880188412995438e-01 3.0318814068201799e-01 8.4915132390026937e-01 9.4850970886539321e-01
3.7711575678945986e-01 3.4179779855864012e-01 8.4915132390026937e-01 1.0800866056847251e+00
3.4179779855864012e-01 3.7711575678945986e-01 8.4915132390026937e-01 1.1998220718955932e+00
3.0318814068201805e-01 4.0880188412995433e-01 8.4915132390026937e-01 1.3055721506783280e+00
2.6165861527113110e-01 4.3655102585243571e-01 8.4915132390026937e-01 1.3956700523654730e+00
2.1760917435803437e-01 4.6009594255289232e-01 8.4915132390026937e-01 1.4689524765067534e+00
1.7146403813859451e-01 4.7920988381253821e-01 8.4915132390026937e-01 1.5247482069439999e+00
1.2366760950010239e-01 4.9370877192829982e-01 8.4915132390026937e-01 1.5628352328510537e+00
7.4680194178532139e-02 5.0345297468172390e-01 8.4915132390026937e-01 1.5833751568553152e+00
2.4973567762675900e-02 5.0834865007357188e-01 8.4915132390026937e-01 1.5868347075110147e+00
5.8903194100570766e-01 2.8937283675205098e-02 7.9517545616583851e-01 7.5692733759993358e-02
5.8335924141620987e-01 8.6533169165094709e-02 7.9517545616583851e-01 2.3889125329507382e-01
5.7206847343527423e-01 1.4329569293208241e-01 7.9517545616583851e-01 4.1023111273308710e-01
5.5526837333071877e-01 1.9867820084274029e-01 7.9517545616583851e-01 5.8622084373005623e-01
5.3312073525041925e-01 2.5214732907073023e-01 7.9517545616583851e-01 7.6290590431503014e-01
5.0583885305621945e-01 3.0318814068201799e-01 7.9517545616583851e-01 9.3612019013714809e-01
4.7368546618744339e-01 3.5130908475904110e-01 7.9517545616583851e-01 1.1017402689297526e+00
4.3697022933646656e-01 3.9604673030475390e-01 7.9517545616583851e-01 1.2559234783256041e+00
3.9604673030475390e-01 4.3697022933646656e-01 7.9517545616583851e-01 1.3953111355612293e+00
3.5130908475904121e-01 4.7368546618744334e-01 7.9517545616583851e-01 1.5171795214694912e+00
3.0318814068201799e-01 5.0583885305621945e-01 7.9517545616583851e-01 1.6195271755990783e+00
2.5214732907073029e-01 5.3312073525041925e-01 7.9517545616583851e-01 1.7010960232171839e+00
1.9867820084274029e-01 5.5526837333071877e-01 7.9517545616583851e-01 1.7613326331270112e+00
1.4329569293208247e-01 5.7206847343527423e-01 7.9517545616583851e-01 1.8003021483762192e+00
8.6533169165094709e-02 5.8335924141620987e-01 7.9517545616583851e-01 1.8185705913241226e+00
2.8937283675205160e-02 5.8903194100570766e-01 7.9517545616583851e-01 1.8170718744109529e+00
6.6404253234834554e-01 3.2622317727213766e-02 7.3354161410140950e-01 8.2820163984525241e-02
6.5764743975925788e-01 9.7552782428755355e-02 7.3354161410140950e-01 2.6348216505534944e-01
6.4491884281862866e-01 1.6154376050773261e-01 7.3354161410140950e-01 4.5584922017151142e-01
6.2597932487315511e-01 2.2397898386421808e-01 7.3354161410140950e-01 6.5540693549173201e-01
6.0101128383404578e-01 2.8425716716672389e-01 7.3354161410140950e-01 8.5697334586145024e-01
5.7025517558542682e-01 3.4179779855864012e-01 7.3354161410140950e-01 1.0550764866267299e+00
5.3400719826273157e-01 3.9604673030475396e-01 7.3354161410140950e-01 1.2443273904654983e+00
4.9261643970273744e-01 4.4648151553686743e-01 7.3354161410140950e-01 1.4197641655581532e+00
4.4648151553686743e-01 4.9261643970273744e-01 7.3354161410140950e-01 1.5771402824864835e+00
