# x y u
-2.3998503275963806e-01 -4.3720435626665605e-01 2.2279284184124262e-01
-2.3994067730598398e-01 4.4177671158244985e-01 2.2534270110124413e-01
-2.3975860254138356e-01 4.1532199699704092e-01 2.0684266588415232e-01
-2.3961955561228529e-01 -4.1075153750651666e-01 2.0442652847789194e-01
-2.3929052105036419e-01 -4.6365065708728070e-01 2.4151929572175893e-01
-2.3906339263785897e-01 4.6821758677775588e-01 2.4421485262837223e-01
-2.3849497799681446e-01 3.8889694817678877e-01 1.8876855310566598e-01
-2.3816488461513957e-01 -3.8433630506641386e-01 1.8647050681333618e-01
-2.3755714838170328e-01 -4.9004930459692236e-01 2.6055531675752674e-01
-2.3715474135834724e-01 4.9460413678888682e-01 2.6340945537830363e-01
-2.3612241180684340e-01 3.6254839996058136e-01 1.7117374293856888e-01
-2.3559856443885197e-01 -3.5800593239173506e-01 1.6897998131354003e-01
-2.3481241128964242e-01 -5.1636207911208210e-01 2.7985590930459936e-01
-2.3423783256634464e-01 5.2089840898692807e-01 2.8287703668011893e-01
-2.3261550474946119e-01 3.3632684076171265e-01 1.5411363982642173e-01
-2.3189331742705960e-01 -3.3181166376293408e-01 1.5201060389864576e-01
-2.3108033496900593e-01 -5.4255312064808092e-01 2.9937779703353690e-01
-2.3033688825371085e-01 5.4706485138644423e-01 3.0257096792894633e-01
-2.2794989496760629e-01 3.1028659269011161e-01 1.3764488916996265e-01
-2.2702337285054566e-01 -3.0580887178030203e-01 1.3562047673669878e-01
-2.2699227788064438e-01 -4.3025354847225761e-01 2.1295347428595360e-01
-2.2698278317701523e-01 4.3757771000457818e-01 2.1749047375112532e-01
-2.2663360530320434e-01 4.1139702896979657e-01 1.9917041123433321e-01
-2.2657655792104658e-01 -4.5643331719191527e-01 2.3148373343939932e-01
-2.2638590246921630e-01 -5.6858897784208429e-01 3.1908140261397189e-01
-2.2634175141957799e-01 -4.0407868198901120e-01 1.9480403993881790e-01
-2.2627077057071218e-01 4.6375110351392179e-01 2.3619701126477485e-01
-2.2547706585567384e-01 5.7307032395613278e-01 3.2244776334606640e-01
-2.2519718028982313e-01 3.8525355271604733e-01 1.8129021667384568e-01
-2.2511561915287920e-01 -4.8257567788939659e-01 2.5034273020185693e-01
-2.2459700305526420e-01 -3.7795402491980745e-01 1.7708761831682648e-01
